编码,项目名称,对应的手术名称,"计价
单位",价格（元）,,
330601001,鼻外伤清创缝合术,"鼻皮肤和皮下坏死组织切除清创术、鼻皮肤
和皮下组织非切除性清创",次,425,385,340
330601002,鼻骨骨折整复术,鼻骨折闭合性复位术、鼻骨折开放性复位术,次,485,440,385
330601005,前鼻孔成形术,前鼻孔成形术,次,725,655,580
330601007,鼻腔异物取出术,鼻腔内异物去除,次,255,230,205
330601008,下鼻甲部分切除术,鼻甲部分切除术,次,585,525,470
330601009,中鼻甲部分切除术,鼻甲部分切除术,次,585,525,470
330601010,鼻翼肿瘤切除成形术,鼻病损切除术或破坏术,次,1280,1150,1020
330601011,鼻前庭囊肿切除术,鼻前庭病损切除术,次,1130,1020,900
330601012,鼻息肉摘除术,鼻息肉切除术,次,650,585,520
330601014,鼻中隔矫正术,鼻中隔成形术,次,1130,1020,905
330601015,鼻中隔软骨取骨术,鼻中隔软骨移植术,次,715,645,570
330601016,鼻中隔穿孔修补术,鼻中隔穿孔修补术,次,1490,1340,1190
330601018,筛动脉结扎术,控制鼻出血，用筛动脉结扎术,次,1000,900,800
330601019,筛前神经切断术,筛前神经切断术,次,1080,970,865
330601020,经鼻鼻侧鼻腔鼻窦肿瘤切除术,鼻窦病损切除术,次,1850,1670,1480
330601021,经鼻鼻腔鼻窦肿瘤切除术,鼻窦病损切除术,次,2290,2060,1830
330601022,隆鼻术,单纯鞍鼻矫治术(隆鼻术),次,价格放开,,
330601024,重度鞍鼻畸形矫正术,单纯鞍鼻矫治术(隆鼻术),次,1700,1530,1360
330601026,鼻再造术,臂部皮瓣鼻再造术,次,2550,2300,2040
330601028,后鼻孔成形术,后鼻孔成形术,次,1850,1670,1480
330602001,上颌窦鼻内开窗术,鼻内上颌窦切开术,次,850,765,680
330602002,上颌窦根治术(柯-路氏手术),上颌窦根治术,次,1080,970,865
330602003,经上颌窦颌内动脉结扎术,控制鼻出血，用(经上颌窦)颌动脉结扎术,次,1280,1150,1020
330602004,鼻窦异物取出术,鼻窦切开异物取出术,次,1190,1070,950
330602005,萎缩性鼻炎鼻腔缩窄术,鼻腔缩窄术,次,1700,1530,1360
330602007,鼻外额窦开放手术,鼻外额窦开窗术,次,1000,900,800
330602008,鼻内额窦开放手术,内镜下额窦开窗术,次,1130,1020,905
330602009,鼻外筛窦开放手术,筛窦切开术,次,990,890,790
330602010,鼻内筛窦开放手术,内镜下筛窦开窗术,次,1420,1280,1140
330602011,鼻外蝶窦开放手术,蝶窦开窗术,次,1420,1280,1140
330602012,鼻内蝶窦开放手术,内镜下蝶窦开窗术,次,1560,1400,1250
330602014,全筛窦切除术,筛窦切开术,次,1850,1670,1480
330602015,经鼻内镜鼻窦球囊扩张术,内镜下鼻窦扩大术,个,新增项目,,
330603003,经前颅窝鼻窦肿物切除术,内镜下鼻窦病损切除术,次,4940,4450,3950
330603004,经鼻视神经减压术,神经内镜下经鼻腔视神经管减压术,次,2120,1910,1700
330603005,鼻外视神经减压术,神经内镜下经鼻腔视神经管减压术,次,2120,1910,1700
330603006,经鼻内镜眶减压术,内镜下眶减压术,次,2120,1910,1700
330604001,乳牙拔除术,拔除乳牙,每牙,11,10,9
330604002,前牙拔除术,拔牙术,每牙,23,21,18
330604003,前磨牙拔除术,拔牙术,每牙,35,32,28
330604004,磨牙拔除术,拔牙术,每牙,46,41,37
330604005,复杂牙拔除术,拔牙术,每牙,88,79,70
330604006,阻生牙拔除术,阻生牙拔除术,每牙,330,295,265
330604008,牙再植术,自体牙再植术,每牙,115,105,90
330604010,牙槽骨修整术,牙槽骨修整术,每牙,88,79,70
330604011,牙槽嵴增高术,牙槽嵴裂植骨术,每牙,价格放开,,
330604014,口腔上颌窦瘘修补术,上颌窦瘘修补术,次,575,520,460
330604015,上颌窦开窗异物取出术,上颌窦开窗术,次,575,520,460
330604016,唇颊沟加深术,唇颊沟加深术,次,550,495,440
330604023,牙齿萌出囊肿袋形术,牙齿囊肿袋形缝合术,每牙,140,125,110
330604024,颌骨囊肿摘除术,颌骨囊肿摘除术,次,770,695,615
330604026,根尖切除术,根尖切除术,每牙,285,255,230
330604027,根尖搔刮术,根尖搔刮术,每牙,230,205,185
330604029,牙龈翻瓣术,牙龈翻瓣术,每牙,155,140,125
330604030,牙龈再生术,牙龈成形术,每组,230,205,185
330604031,牙龈切除术,牙龈切开术,每牙,69,62,55
330604034,牙冠延长术,牙冠延长术,每牙,115,105,92
330604041,松动牙根管内固定术,根管填充术,每牙,115,105,92
330605001,口腔颌面部小肿物切除术,面部脓肿引流术,次,460,415,370
330605002,口腔颌面部神经纤维瘤切除成形术,面部病损切除术,次,1680,1510,1340
330605003,颌下腺移植术,颌下腺自体移植术,次,1890,1700,1510
330605004,涎腺瘘切除修复术,涎腺裂伤缝合术,次,1050,945,840
330605005,下颌骨部分切除术,下颌骨部分切除术,次,1050,945,840
330605006,下颌骨半侧切除术,半下颌骨切除术,次,1320,1190,1060
330605007,下颌骨扩大切除术,下颌骨部分切除术,次,1680,1510,1340
330605009,上颌骨部分切除术,上颌骨部分切除术,次,1050,945,840
330605010,上颌骨次全切除术,上颌骨次全切除术,次,1260,1130,1010
330605011,上颌骨全切术,上颌骨全部切除术,次,1680,1510,1340
330605012,上颌骨扩大切除术,上颌骨部分切除术,次,2210,1990,1770
330605013,颌骨良性病变切除术,下颌骨病损切除术，上颌骨病损切除术,次,1260,1130,1010
330605014,舌骨上淋巴清扫术,舌骨上颈淋巴结清扫术,次,1260,1130,1010
330605015,舌恶性肿物切除术,舌病损切除术,次,1580,1420,1260
330605016,舌根部肿瘤切除术,支撑喉镜下舌根部病损切除术,次,1580,1420,1260
330605017,颊部恶性肿物局部扩大切除术,颊部病损切除术,次,1260,1130,1010
330605018,口底皮样囊肿摘除术,颌骨囊肿摘除术,次,945,850,755
330605019,口底恶性肿物局部扩大切除术,口底病损切除术,次,1260,1130,1010
330605021,口腔颌面颈部异物取出术,非切开颈部异物去除,次,945,850,755
330605023,腭部肿物局部扩大切除术,硬腭部分切除术,次,1050,945,840
330605027,腮腺浅叶肿物切除术,腮腺浅叶切除术,次,1260,1130,1010
330605028,腮腺全切除术,腮腺切除术,次,1370,1230,1100
330605029,腮腺恶性肿物扩大切除术,腮腺病损切除术,次,1580,1420,1260
330605031,鳃裂囊肿切除术,鳃裂囊肿切除术,次,1210,1090,970
330605032,涎腺导管结石取石术,涎腺切开异物去除术,次,550,495,440
330605034,舌下腺切除术,舌下腺切除术,次,660,595,530
330605036,颌下腺切除术,颌下腺切除术,次,785,705,630
330606001,系带成形术,舌系带成形术,次,330,295,265
330606004,腭弓成形术,咽腭弓延长成形术，咽腭弓延长成形术,次,1260,1130,1010
330606006,腭咽成形术,腭咽成形术,次,1050,945,840
330606008,悬雍垂腭咽成形术(UPPP),悬雍垂腭咽成形术,次,1050,945,840
330606010,唇缺损修复术,唇缺损修复术,次,1260,1130,1010
330606011,单侧不完全唇裂修复术,唇裂伤缝合术,次,1370,1230,1100
330606012,单侧完全唇裂修复术,唇裂二期修复术,次,1790,1610,1430
330606014,Ⅰ°腭裂兰氏修复术,腭裂修补术,次,1050,945,840
330606015,II°腭裂兰氏修复术,腭裂修补术,次,1160,1040,930
330606016,III°腭裂兰氏修复术,腭裂修补术,次,1260,1130,1010
330606017,反向双“Z“腭裂修复术,腭裂修补术,次,1260,1130,1010
330606018,单瓣二瓣后退腭裂修复术,腭裂修补术,次,1260,1130,1010
330606019,腭咽环扎腭裂修复术,腭裂修补术,次,1260,1130,1010
330606020,组织瓣转移腭裂修复术,腭裂修补术,次,1470,1320,1180
330606021,腭咽肌瓣成形术,腭咽成形术,次,1260,1130,1010
330606025,齿龈成形术,牙龈成形术,次,990,890,790
330606027,面横裂修复术,面横裂矫正术,次,1260,1130,1010
330606037,带蒂皮瓣二期断蒂术,带蒂皮瓣断蒂术,次,785,705,630
330606038,皮瓣肌皮瓣延迟术,带蒂皮瓣延迟术,次,945,850,755
330606039,腭瘘修补术,腭瘘修补术,次,1260,1130,1010
330606040,经颈部茎突过长切除术,茎突截短术,次,945,850,755
330606041,经口茎突过长切除术,茎突截短术,次,1260,1130,1010
330607001,上颌雷弗特I型截骨术（Le Fort） ,上颌LefortⅠ型截骨成形术,单颌,价格放开,,
330607002,上颌雷弗特II型截骨术（Le Fort）,上颌LefortⅡ型截骨成形术,单颌,价格放开,,
330607003,上颌雷弗特III型截骨术（Le Fort）,上颌LefortⅢ型截骨成形术,单颌,价格放开,,
330607007,下颌根尖下截骨术,下颌根尖下截骨成形术,次,价格放开,,
330607008,下颌下缘去骨成形术,下颌下缘去骨成形术,次,价格放开,,
330607014,颧骨颧弓成型术,颧弓成形术,单侧,价格放开,,
330607015,颞下颌关节盘手术,颞颌关节盘切除术，颞颌关节盘固定术,单侧,1580,1420,1260
330607017,颞下颌关节成形术,颞下颌关节成形术,单侧,1580,1420,1260
330608001,口腔颌面软组织清创术(大),皮肤和皮下组织非切除性清创、皮肤和皮下坏死组织切除清创术,次,1470,1320,1180
330608002,口腔颌面软组织清创术(中),皮肤和皮下组织非切除性清创、皮肤和皮下坏死组织切除清创术,次,1050,945,840
330608003,口腔颌面软组织清创术(小),皮肤和皮下组织非切除性清创、皮肤和皮下坏死组织切除清创术,次,440,395,350
330608004,颌骨骨折单颌牙弓夹板固定术,"上颌骨折闭合复位伴牙弓夹板结扎固定术,
下颌骨骨折闭合复位伴牙弓夹板结扎固定术",单颌,330,295,265
330608005,颌骨骨折颌间固定术,"上颌骨骨折切开复位内固定术,下颌骨骨折
切开复位内固定术",单颌,660,595,530
330608007,髁状突陈旧性骨折整复术,髁状突骨折切开复位内固定术,单侧,1580,1420,1260
330608008,髁状突骨折切开复位内固定术,髁状突骨折切开复位内固定术,单侧,1580,1420,1260
330608009,下颌骨骨折切开复位内固定术,下颌骨骨折切开复位内固定术,单颌,1260,1130,1010
330608010,上颌骨骨折切开复位内固定术,上颌骨骨折切开复位内固定术,单颌,1260,1130,1010
330608011,颧骨骨折切开复位内固定术,颧骨骨折切开复位内固定术,单侧,1580,1420,1260
330608012,颧弓骨折复位术,颧弓骨折切开复位术,单侧,1050,950,840
330608013,颧骨上颌骨复合骨折切开复位内固定术,上颌骨骨折切开复位内固定术,单侧,1580,1420,1260
330608019,骨内固定植入物取出术,"眶骨内固定装置取出术，颧骨内固定装置
取出术，下颌骨内固定装置取出术，上颌
骨内固定装置取出术",单颌,460,415,370
330608020,下颌骨缺损植骨修复术,下颌骨自体骨植入术,单颌,1580,1420,1260
330608021,下颌骨缺损网托碎骨移植术,下颌骨骨移植术,单颌,1790,1610,1430
330608022,下颌骨缺损带蒂骨移植术,下颌骨骨移植术,单颌,1790,1610,1430
330608024,下颌骨缺损钛板重建术,下颌骨钛板置入术,单颌,1260,1130,1010
330608026,上颌骨缺损植骨修复术,上颌骨骨移植术,单颌,1260,1130,1010
330609001,牙种植体植入术,种植牙,次,价格放开,,
330609003,下齿槽神经移位术,下牙槽神经移位术,次,945,850,755
330609004,骨劈开术,下颌骨劈开术,次,880,790,705
330609010,种植体二期手术,义齿种植二期手术(种植体基桩连接术),次,840,755,670
330610001,扁桃体切除术,扁桃体切除术,次,715,645,570
330610002,腺样体刮除术,腺样体切除术,次,765,690,610
330610003,舌扁桃体切除术,舌扁桃体切除术,次,1060,955,850
330610004,扁桃体周围脓肿切开引流术,扁桃体周围切开引流术,次,255,230,205
330611001,咽后壁脓肿切开引流术,咽后组织切开引流术,次,530,475,425
330611002,经颈侧进路鼻咽肿瘤切除术,鼻咽病损切除术,次,2120,1910,1700
330611003,经硬腭进路鼻咽肿瘤切除术,鼻咽病损切除术,次,2350,2120,1880
330611005,颈侧切开下咽肿瘤切除术,下咽病损切除术,次,5290,4760,4230
330611006,颈外进路咽旁间隙肿物摘除术,咽旁间隙病损切除术,次,2520,2270,2020
330611008,咽瘘皮瓣修复术,咽瘘修补术,次,2120,1910,1700
330611009,侧颅底切除术,颅底病损切除术,次,5290,4760,4230
330701001,经直达喉镜喉肿物摘除术,支撑喉镜下喉病损切除术、支撑喉镜下咽部活组织检查、咽内异物去除,次,1000,900,800
330701002,颈侧切开喉部肿瘤切除术,喉病损切除术,次,2120,1910,1700
330701005,气管切开术,暂时性气管切开术，永久性气管切开术,次,770,695,615
330701006,喉全切除术,全部喉切除术,次,2960,2660,2370
330701008,喉功能重建术,喉功能重建术,次,3840,3460,3070
330701010,喉次全切除术,喉次全切除术,次,3840,3460,3070
330701014,声门上水平喉切除术,声门上喉部分切除术,次,3840,3460,3070
330701015,梨状窝癌切除术,梨状窝病损切除术,次,3840,3460,3070
330701022,喉良性肿瘤切除术,喉病损切除术,次,1980,1780,1580
330701025,经支撑喉镜激光声带肿物切除术,支撑喉镜下声门病损切除术,次,1980,1780,1580
330701026,经颈侧杓状软骨切除声带外移术,喉杓状软骨切除术,次,2120,1910,1700
330701028,喉气管外伤缝合成形术,喉气管瘘修补术,次,1250,1130,1000
330701031,甲状软骨成形术,甲状软骨成形术,次,1420,1280,1140
330701035,环杓关节复位术,内镜下环杓关节复位术,次,1060,955,850
330701036,会厌脓肿切开引流术,会厌切开引流术,次,1170,1050,935
330701037,经颈进路会厌肿物切除术,会厌病损切除术,次,1280,1150,1020
330701038,会厌良性肿瘤切除术,会厌病损切除术,次,1280,1150,1020
330701040,气管瘘修复术,气管瘘闭合术,次,2650,2390,2120
330701041,气管内肿瘤切除术,气管病损切除术,次,4550,4100,3640
330701042,气管成形术,气管成形术,次,4900,4410,3920
330701043,颈段气管食管瘘修补术,气管食管瘘修补术,次,2670,2400,2140
330701044,颈部囊状水瘤切除术,颈部软组织病损切除术,次,2670,2400,2140
330701045,颈部气管造口再造术,气管造口扩张术,次,2120,1910,1700
330702001,肺内异物摘除术,肺内异物取出术,次,3320,2990,2660
330702003,肺段切除术,肺节段切除术,次,3320,2990,2660
330702004,肺减容手术,支气管镜下肺减容术,次,5250,4730,4200
330702005,肺楔形切除术,肺楔形切除术,次,3320,2990,2660
330702006,肺叶切除术,肺叶切除术,次,3890,3500,3110
330702007,袖状肺叶切除术,肺叶袖状切除术,次,4380,3940,3500
330702008,全肺切除术,全肺切除术,次,4380,3940,3500
330702009,肺大泡切除修补术,肺大泡切除术,次,3320,2990,2660
330702011,肺修补术,肺修补术,次,3320,2990,2660
330702012,肺移植术,肺移植术,次,15880,14290,12700
330702013,自体肺移植术,自体肺移植术,次,8820,7940,7060
330703003,开胸探查术,开胸探查术,次,3170,2850,2540
330703004,开胸止血术,开胸止血术,次,2550,2300,2040
330703005,肋骨骨髓病灶清除术,肋骨病损切除术,次,3170,2850,2540
330703006,肋骨切除术,肋骨切断术,次,2650,2390,2120
330703008,胸壁结核病灶清除术,胸腔镜下胸壁病损切除术,次,3320,2990,2660
330703009,胸廓成形术,胸廓成形术,次,3890,3500,3110
330703010,胸骨牵引术,胸骨牵引术,次,1130,1020,905
330703012,胸壁肿瘤切除术,胸壁病损切除术,次,2650,2390,2120
330703013,胸壁缺损修复术,"胸壁缺损修补术(人工材料)，胸壁缺损修补术
(自体材料)",单侧,3320,2990,2660
330703014,胸廓畸形矫正术,胸廓畸形矫正术,次,3320,2990,2660
330703015,小儿鸡胸矫正术,鸡胸矫正术,次,3890,3500,3110
330703017,胸腔闭式引流术,胸腔闭式引流术,次,505,455,405
330703019,胸膜剥脱术,胸膜剥脱术,次,2840,2560,2270
330703020,脓胸引流清除术,胸腔镜下脓胸清除术,次,1320,1190,1060
330703021,胸膜活检术,胸膜活检,次,1010,910,810
330703022,胸膜粘连烙断术,胸膜粘连松解术,次,1560,1400,1250
330703023,胸膜固定术,胸膜固定术,次,1250,1130,1000
330703024,经纤支镜支气管胸膜瘘堵塞术,支气管镜下支气管胸膜瘘修补术,次,2290,2060,1830
330703026,纵隔肿物切除术,纵隔病损切除术,次,3890,3500,3110
330703027,纵隔气肿切开减压术,纵隔切开术,次,1410,1270,1130
330703028,膈肌修补术,膈肌修补术,次,3170,2850,2540
330703029,膈肌折叠术,膈肌折叠术,次,2650,2390,2120
330703031,膈神经麻痹术,膈神经切断术,次,1190,1070,950
330703032,先天性膈疝修补术,经腹膈疝修补术,次,3890,3500,3110
330703033,先天性食管裂孔疝修补术,经腹食管裂孔疝修补术,次,3890,3500,3110
330703034,食管裂孔疝修补术,腹腔镜经腹食管裂孔疝修补术,次,3120,2810,2500
330801001,二尖瓣闭式扩张术,二尖瓣闭式扩张术,次,3500,3150,2800
330801002,二尖瓣直视成形术,二尖瓣成形术,次,5250,4730,4200
330801003,二尖瓣替换术,二尖瓣生物瓣膜置换术，二尖瓣机械瓣膜置换术,次,5250,4730,4200
330801004,三尖瓣直视成形术,三尖瓣成形术,次,4940,4450,3950
330801005,三尖瓣置换术,三尖瓣生物瓣膜置换术，三尖瓣机械瓣膜置换术,次,5250,4730,4200
330801006,三尖瓣下移畸形矫治术(Ebstein畸形矫治术),三尖瓣下移矫治术[Ebstein畸形],次,5650,5090,4520
330801007,主动脉瓣上狭窄矫治术,主动脉瓣瓣上狭窄矫治术,次,5250,4730,4200
330801009,主动脉瓣置换术,经导管主动脉瓣置换术,次,5250,4730,4200
330801010,自体肺动脉瓣替换主动脉瓣术(ROSS手术),自体肺动脉移植术[Ross手术],次,7940,7150,6350
330801011,肺动脉瓣置换术,经心尖肺动脉瓣置换,次,5250,4730,4200
330801015,瓣周漏修补术,主动脉瓣瓣周漏修补术,次,5250,4730,4200
330801016,房间隔造口术(Blabock-Hanlon手术),房间隔造口术,次,2120,1910,1700
330801017,房间隔缺损修补术,房间隔缺损修补术,次,4380,3940,3500
330801018,室间隔缺损直视修补术,室间隔缺损修补术,次,4900,4410,3920
330801019,部分型心内膜垫缺损矫治术,部分型心内膜垫缺损矫治术,次,5250,4730,4200
330801020,完全型心内膜垫缺损矫治术,完全型心内膜垫缺损矫治术,次,7020,6320,5620
330801021,卵圆孔修补术,卵圆孔未闭修补术,次,待定,,
330801027,三房心矫治术,三房心矫治术,次,5250,4730,4200
330801028,单心室分隔术,三尖瓣闭合术(单心室),次,7940,7150,6350
330801029,经皮主动脉瓣置换术,血管内主动脉瓣置换,次,新增项目,,
330802001,冠状动静脉瘘修补术,冠状动静脉瘘修补术,次,5250,4730,4200
330802003,冠状动脉搭桥术,主动脉-冠状动脉搭桥术,每支吻合血管,7020,6320,5620
330802006,非体外循环冠状动脉搭桥术,主动脉-冠状动脉搭桥术,每支吻合血管,7020,6320,5620
330802008,冠状动脉内膜切除术,冠状动脉内膜切除术,次,3890,3500,3110
330802009,肺动静脉瘘结扎术,肺动静脉瘘修补术,次,2610,2350,2090
330802011,上腔静脉肺动脉吻合术(双向Glenn),双向肺动脉-上腔静脉分流术[双向Glenn手术],每侧,4410,3970,3530
330802012,肺动脉环缩术,肺动脉环缩术,次,2800,2520,2240
330802013,肺动脉栓塞摘除术,肺动脉栓塞术,次,4410,3970,3530
330802014,动脉导管闭合术,动脉导管未闭结扎术,次,3500,3150,2800
330802015,主肺动脉窗修补术,肺动脉干修补术,次,4730,4260,3780
330802016,先天性心脏病体肺动脉分流术,右心室-肺动脉分流术[Rastelli手术],次,3500,3150,2800
330802017,全腔肺动脉吻合术,腔静脉-肺动脉吻合术,次,7020,6320,5620
330802018,右室双出口矫治术,右室双出口矫治术,次,7020,6320,5620
330802019,肺动脉闭锁矫治术,肺动脉闭锁修补术,次,7410,6670,5930
330802020,部分型肺静脉畸形引流矫治术,部分型肺静脉畸形引流矫治术,次,4410,3970,3530
330802021,完全型肺静脉畸形引流矫治术,完全肺静脉异位引流矫正术,次,5250,4730,4200
330802023,主动脉缩窄矫治术,主动脉缩窄术,次,6700,6030,5360
330802024,左室流出道狭窄疏通术,左室流出道疏通术,次,5650,5090,4520
330802025,主动脉根部替换术,主动脉瓣和升主动脉置换和冠脉移植术（Bentall手术）,次,7020,6320,5620
330802026,保留瓣膜的主动脉根部替换术,保留主动脉瓣主动脉根部置换加冠状动脉移植术（David手术）,次,7060,6350,5650
330802028,主动脉窦瘤破裂修补术,经皮主动脉窦瘤封堵术,次,5650,5090,4520
330802029,升主动脉替换术,胸腔镜升主动脉置换术,次,6700,6030,5360
330802030,升主动脉替换加主动脉瓣替换术(Wheat′s手术),主动脉瓣生物瓣膜置换伴升主动脉置换术[Wheat's手术],次,7020,6320,5620
330802031,主动脉弓中断矫治术,主动脉弓中断矫治术,次,7940,7150,6350
330802033,主动脉弓置换术,全主动脉弓人工血管置换术,次,7940,7150,6350
330802034,“象鼻子”技术,支架象鼻术,次,7940,7150,6350
330802035,主动脉弓降部瘤切除人工血管置换术,主动脉瘤切除伴人工血管置换术,次,7940,7150,6350
330802036,动脉调转术(Switch术),双动脉根部调转术,次,8460,7610,6770
330802037,心房调转术,心房内调转术,次,6170,5550,4940
330802038,双调转手术(Double Switch手术),双动脉根部调转术,次,8460,7610,6770
330802039,内外通道矫治手术(Rastalli手术),右心室-肺动脉分流术[Rastelli手术],次,7410,6670,5930
330802040,房坦型手术(Fontan Type手术),方坦手术,次,7020,6320,5620
330802042,永存动脉干修复术,永存动脉干修补术,次,7410,6670,5930
330802044,科诺（Konno）手术,改良Konno手术,次,7060,6350,5650
330802046,左心耳封堵术,左心耳夹闭术,次,4230,3800,3380
330803002,心包剥脱术,心包剥脱术,次,3500,3150,2800
330803003,经胸腔镜心包部分切除术,心包部分切除术,次,2820,2540,2260
330803004,心包肿瘤切除术,心包病损切除术,次,3500,3150,2800
330803005,心包开窗引流术,心包开窗术,次,1420,1280,1140
330803008,心内异物取出术,心脏切开异物去除术,次,4940,4450,3950
330803009,心脏良性肿瘤摘除术,心脏肿瘤切除术,次,4940,4450,3950
330803010,心脏恶性肿瘤摘除术,心脏肿瘤切除术,次,5250,4730,4200
330803011,室壁瘤切除术,室壁瘤切除术,次,5250,4730,4200
330803012,左房血栓清除术,心房血栓清除术,次,4410,3970,3530
330803013,左房折叠术,心房折叠术,次,3890,3500,3110
330803014,左室减容术(Batista手术),心室减容术,次,3890,3500,3110
330803015,心脏异常传导束切断术,心脏异常传导束切断术,次,4940,4450,3950
330803016,迷宫手术(房颤矫治术),心脏射频消融改良迷宫术,次,5290,4760,4230
330803017,心脏表面临时起搏器安置术,暂时性经静脉起搏器系统的置入,次,265,240,210
330803018,激光心肌打孔术,心肌激光打孔术,每孔次,140,125,110
330803020,心脏移植术,心脏移植术,次,21170,19050,16940
330803022,左右心室辅助泵安装术,植入或置入双心室心脏外置式辅助系统,次,2100,1890,1680
330803023,主动脉内球囊反搏置管术,主动脉球囊反搏置入术,次,2650,2390,2120
330803024,左右心室辅助泵安装术,植入或置入双心室心脏外置式辅助系统,次,2120,1910,1700
330803025,体外人工膜肺(ECMO),体外膜肺氧合[ECMO],小时,125,115,100
330803026,左右心室辅助循环,左心室辅助系统置入术[LVAD置入术]，右心室辅助系统置入术[RVAD置入术],小时,125,115,100
330803027,体外循环心脏不停跳心内直视手术,体外循环辅助开放性心脏手术,次,待定,,
330803029,心脏术后感染伤口清创引流术,伤口、感染或烧伤的非切除性清创术,次,530,475,425
330804001,无名动脉瘤切除术,头臂干动脉瘤切除[无名动脉瘤切除术],次,4410,3970,3530
330804002,颈静脉瘤成形术,颈静脉瘤切除术,次,2270,2040,1820
330804004,颈动脉海绵窦栓塞＋结扎术,经导管颈内动脉海绵窦瘘栓塞术,次,2120,1910,1700
330804005,颈动脉瘤切除＋血管移植术,颈动脉瘤切除术,次,4590,4130,3670
330804006,颈动脉体瘤切除＋血管移植术,颈动脉瘤切除术,次,5250,4730,4200
330804007,颈动脉腋动脉血管移植术,颈总动脉切除伴自体血管移植术,次,3890,3500,3110
330804009,带瓣全程主动脉人工血管置换术,全主动脉人工血管置换术,次,6700,6030,5360
330804010,全程主动脉人工血管置换术,全主动脉人工血管置换术,次,9180,8260,7340
330804013,肠系膜上动脉取栓＋移植术,肠系膜动脉取栓术,次,4410,3970,3530
330804034,肠腔静脉“H”型架桥转流术,肠系膜静脉-腔静脉吻合术？,次,3890,3500,3110
330804041,股腘动脉人工自体血管移植术,股动脉-腘动脉搭桥术,次,3170,2850,2540
330804043,肢体动静脉切开取栓术,"上肢静脉取栓术，上肢动脉取栓术，
下肢静脉血栓切除术，下肢动脉血栓切除术","每个
切口",1720,1550,1380
330804044,上肢血管探查术,上肢血管切开探查术,次,1580,1420,1260
330804046,肢体动脉瘤切除＋血管移植术,肱动脉瘤切除伴自体血管移植术,次,4200,3780,3360
330804052,先天性动静脉瘘栓塞＋切除术,动静脉瘘栓塞术、动静脉瘘切除术,次,2820,2540,2260
330804054,动静脉人工内瘘成形术,人工动静脉瘘修补术,次,1320,1190,1060
330804056,人工动静脉瘘切除重造术,人工动静脉瘘切除术,次,2820,2540,2260
330804057,外伤性动静脉瘘修补术＋血管移植术,动静脉瘘修补术,次,3890,3500,3110
330804058,股静脉带戒术,股静脉环缩术,次,2820,2540,2260
330804059,经血管镜股静脉瓣修复术,股静脉瓣膜环缩术,次,2820,2540,2260
330804062,大隐静脉高位结扎＋剥脱术,大隐静脉高位结扎和剥脱术,单侧,1840,1660,1470
330804065,大网膜游离移植术,大网膜内移植术,次,2470,2220,1980
330804068,锁骨下动脉搭桥术,锁骨下动脉-锁骨下动脉搭桥术,,,,
330804068a,开胸,开胸探查术,次,4590,4130,3670
330804070,大隐静脉闭合术,大隐静脉主干激光闭合术,次,2650,2390,2120
330900002,体表淋巴结摘除术,淋巴结切除术,"每个
部位",380,340,305
330900003,颈淋巴结清扫术,颈淋巴结切除术,次,2820,2540,2260
330900004,腋窝淋巴结清扫术,腋淋巴结切除术,次,2270,2040,1820
330900005,腹股沟淋巴结清扫术,腹股沟淋巴结清扫术,单侧,2470,2220,1980
330900006,经腹腔镜盆腔淋巴结清扫术,腹腔镜盆腔淋巴结清扫术,次,3000,2700,2400
330900007,经腹腔镜盆腔淋巴结活检术,腹腔镜下淋巴结活检术,次,1980,1780,1580
330900008,髂腹股沟淋巴结清扫术,腹股沟淋巴结切除术,单侧,2120,1910,1700
330900009,胸导管结扎术,胸导管结扎术,次,2650,2390,2120
330900010,经胸腔镜内乳淋巴链清除朮,内乳淋巴结清扫术,次,2120,1910,1700
330900011,颈静脉胸导管吻合术,胸导管颈内静脉吻合术,次,2820,2540,2260
330900013,肢体淋巴管-静脉吻合术,周围淋巴管-小静脉吻合术,每支吻合血管,1060,955,850
330900016,脾部分切除术,部分脾切除术,次,2780,2500,2220
330900017,脾修补术,脾修补术,次,2780,2500,2220
330900018,脾切除术,部分脾切除术,次,2610,2350,2090
330900019,脾切除自体脾移植术,脾移植术,次,待定,,
330900020,异体脾脏移植术,脾移植术,次,待定,,
330900021,前哨淋巴结探查术,前哨淋巴结活组织检查,次,1130,1020,900
331001001,颈侧切开食道异物取出术,食管切开异物取出术,次,1760,1580,1410
331001002,食管破裂修补术,食管裂伤缝合术,次,3320,2990,2660
331001003,食管瘘清创术,食管瘘修补术,次,3320,2990,2660
331001004,食管良性肿物切除术,食管病损切除术,次,2670,2400,2140
331001005,先天性食管囊肿切除术,食管病损切除术,次,3280,2950,2620
331001006,食管憩室切除术,食管憩室切除术,次,3280,2950,2620
331001007,食管狭窄切除吻合术,食管吻合口狭窄修补术,次,3890,3500,3110
331001009,食管闭锁造瘘术,食管造口术,次,3320,2990,2660
331001015,颈段食管切除术,部分食管切除术,次,4380,3940,3500
331001016,食管胃吻合口狭窄切开成形术,食管吻合口狭窄修补术,次,4380,3940,3500
331001020,"游离空肠代食管术
胃结肠代食管术",胸内空肠代食管术，胸内结肠代食管术,次,8820,7940,7060
331001021,贲门痉挛(失弛缓症)肌层切开术,食管贲门肌层切开术,次,2800,2520,2240
331001022,贲门癌切除术,贲门部分切除伴食管-胃吻合术,次,4380,3940,3500
